lake,time,depth_m,latitude,longitude,distance_from_point_m,temperature_C
zurich,2025-04-23 00:00:00+00:00,0.9000000357627869,47.27435791364708,8.58300583113347,168956.8601897968,13.186
zurich,2025-04-23 03:00:00+00:00,0.9000000357627869,47.27435791364708,8.58300583113347,168956.8601897968,13.028
zurich,2025-04-23 06:00:00+00:00,0.9000000357627869,47.27435791364708,8.58300583113347,168956.8601897968,12.912
zurich,2025-04-23 09:00:00+00:00,0.9000000357627869,47.27435791364708,8.58300583113347,168956.8601897968,13.041
zurich,2025-04-23 12:00:00+00:00,0.9000000357627869,47.27435791364708,8.58300583113347,168956.8601897968,13.674
zurich,2025-04-23 15:00:00+00:00,0.9000000357627869,47.27435791364708,8.58300583113347,168956.8601897968,14.253
zurich,2025-04-23 18:00:00+00:00,0.9000000357627869,47.27435791364708,8.58300583113347,168956.8601897968,13.868
zurich,2025-04-23 21:00:00+00:00,0.9000000357627869,47.27435791364708,8.58300583113347,168956.8601897968,13.58
zurich,2025-04-24 00:00:00+00:00,0.9000000357627869,47.27435791364708,8.58300583113347,168956.8601897968,13.346
zurich,2025-04-24 03:00:00+00:00,0.9000000357627869,47.27435791364708,8.58300583113347,168956.8601897968,13.199
zurich,2025-04-24 06:00:00+00:00,0.9000000357627869,47.27435791364708,8.58300583113347,168956.8601897968,13.032
zurich,2025-04-24 09:00:00+00:00,0.9000000357627869,47.27435791364708,8.58300583113347,168956.8601897968,13.039
zurich,2025-04-24 12:00:00+00:00,0.9000000357627869,47.27435791364708,8.58300583113347,168956.8601897968,13.248
zurich,2025-04-24 15:00:00+00:00,0.9000000357627869,47.27435791364708,8.58300583113347,168956.8601897968,13.459
zurich,2025-04-24 18:00:00+00:00,0.9000000357627869,47.27435791364708,8.58300583113347,168956.8601897968,13.41
zurich,2025-04-24 21:00:00+00:00,0.9000000357627869,47.27435791364708,8.58300583113347,168956.8601897968,13.3
zurich,2025-04-25 00:00:00+00:00,0.9000000357627869,47.27435791364708,8.58300583113347,168956.8601897968,13.209
zurich,2025-04-25 03:00:00+00:00,0.9000000357627869,47.27435791364708,8.58300583113347,168956.8601897968,13.096
zurich,2025-04-25 06:00:00+00:00,0.9000000357627869,47.27435791364708,8.58300583113347,168956.8601897968,12.97
zurich,2025-04-25 09:00:00+00:00,0.9000000357627869,47.27435791364708,8.58300583113347,168956.8601897968,13.005
zurich,2025-04-25 12:00:00+00:00,0.9000000357627869,47.27435791364708,8.58300583113347,168956.8601897968,13.035
zurich,2025-04-25 15:00:00+00:00,0.9000000357627869,47.27435791364708,8.58300583113347,168956.8601897968,13.331
zurich,2025-04-25 18:00:00+00:00,0.9000000357627869,47.27435791364708,8.58300583113347,168956.8601897968,13.368
zurich,2025-04-25 21:00:00+00:00,0.9000000357627869,47.27435791364708,8.58300583113347,168956.8601897968,13.209
zurich,2025-04-26 00:00:00+00:00,0.9000000357627869,47.27435791364708,8.58300583113347,168956.8601897968,12.895
zurich,2025-04-26 03:00:00+00:00,0.9000000357627869,47.27435791364708,8.58300583113347,168956.8601897968,12.706
zurich,2025-04-26 06:00:00+00:00,0.9000000357627869,47.27435791364708,8.58300583113347,168956.8601897968,12.678
zurich,2025-04-26 09:00:00+00:00,0.9000000357627869,47.27435791364708,8.58300583113347,168956.8601897968,12.881
zurich,2025-04-26 12:00:00+00:00,0.9000000357627869,47.27435791364708,8.58300583113347,168956.8601897968,13.335
zurich,2025-04-26 15:00:00+00:00,0.9000000357627869,47.27435791364708,8.58300583113347,168956.8601897968,13.875
zurich,2025-04-26 18:00:00+00:00,0.9000000357627869,47.27435791364708,8.58300583113347,168956.8601897968,14.059
zurich,2025-04-26 21:00:00+00:00,0.9000000357627869,47.27435791364708,8.58300583113347,168956.8601897968,13.929
zurich,2025-04-27 00:00:00+00:00,0.9000000357627869,47.27435791364708,8.58300583113347,168956.8601897968,13.699
zurich,2025-04-27 03:00:00+00:00,0.9000000357627869,47.27435791364708,8.58300583113347,168956.8601897968,13.407
zurich,2025-04-27 06:00:00+00:00,0.9000000357627869,47.27435791364708,8.58300583113347,168956.8601897968,13.258
zurich,2025-04-27 09:00:00+00:00,0.9000000357627869,47.27435791364708,8.58300583113347,168956.8601897968,13.287
zurich,2025-04-27 12:00:00+00:00,0.9000000357627869,47.27435791364708,8.58300583113347,168956.8601897968,13.925
zurich,2025-04-27 15:00:00+00:00,0.9000000357627869,47.27435791364708,8.58300583113347,168956.8601897968,14.688
zurich,2025-04-27 18:00:00+00:00,0.9000000357627869,47.27435791364708,8.58300583113347,168956.8601897968,14.873
zurich,2025-04-27 21:00:00+00:00,0.9000000357627869,47.27435791364708,8.58300583113347,168956.8601897968,14.282
zurich,2025-04-28 00:00:00+00:00,0.9000000357627869,47.27435791364708,8.58300583113347,168956.8601897968,13.838
zurich,2025-04-28 03:00:00+00:00,0.9000000357627869,47.27435791364708,8.58300583113347,168956.8601897968,13.733
zurich,2025-04-28 06:00:00+00:00,0.9000000357627869,47.27435791364708,8.58300583113347,168956.8601897968,13.654
zurich,2025-04-28 09:00:00+00:00,0.9000000357627869,47.27435791364708,8.58300583113347,168956.8601897968,13.92
zurich,2025-04-28 12:00:00+00:00,0.9000000357627869,47.27435791364708,8.58300583113347,168956.8601897968,14.696
zurich,2025-04-28 15:00:00+00:00,0.9000000357627869,47.27435791364708,8.58300583113347,168956.8601897968,15.431
zurich,2025-04-28 18:00:00+00:00,0.9000000357627869,47.27435791364708,8.58300583113347,168956.8601897968,15.522
