lake,time,depth_m,latitude,longitude,temperature_C,velocity_u_m_s,velocity_v_m_s,velocity_magnitude_m_s,velocity_direction_deg
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.35549,8.54342,15.889,0.04184,0.00859,0.04271268781053237,78.3980533628214
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.35607,8.54533,15.888,0.04113,0.0065,0.04164044788423871,81.01950475618266
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.35664,8.54724,15.886,,,,
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.35178,8.53658,15.89,0.02158,0.01402,0.025734350584384287,56.98919960771418
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.35237,8.53853,15.888,0.03229,0.01417,0.035262345355917546,66.30642586559449
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.35296,8.54048,15.886,0.03793,0.01171,0.0396964607994214,72.84315135087553
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.35354,8.5424,15.885,0.04034,0.00944,0.04142981052334176,76.82916560477051
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.35412,8.54432,15.885,0.04218,0.0076,0.0428592160450935,79.7860270149295
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.3547,8.54623,15.885,0.04236,0.00493,0.042645920086216926,83.36158861807424
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.35528,8.54814,15.883,,,,
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.3498,8.53551,15.892,0.01002,0.01281,0.01626334836372879,38.032567504151196
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.3504,8.53749,15.888,0.02558,0.01273,0.02857252701459918,63.542563245470134
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.35099,8.53944,15.885,0.03502,0.01253,0.03719410302722732,70.31301686684276
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.35158,8.54138,15.883,0.03866,0.01101,0.0401972101021949,74.10355141111125
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.35216,8.54331,15.882,0.04051,0.00934,0.0415727759477281,77.01674629410857
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.35274,8.54523,15.882,0.0422,0.00774,0.042903934551507046,79.60676368132448
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.35332,8.54714,15.882,0.04494,0.00615,0.04535885911263642,82.20752671033468
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.3539,8.54905,15.881,0.04246,0.00122,0.04247752346830026,88.35417747861848
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.35448,8.55095,15.878,,,,
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34841,8.53643,15.888,0.00972,0.0162,0.018892284139298773,30.963756532073518
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34901,8.5384,15.885,0.02643,0.01336,0.029614768275304803,63.18403263691485
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.3496,8.54036,15.882,0.03553,0.01276,0.037751801281528274,70.24510548315621
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.35019,8.5423,15.88,0.03895,0.01104,0.040484368588382356,74.17513248403516
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.35078,8.54423,15.879,0.04054,0.00934,0.04160200956684665,77.02602884696837
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.35136,8.54614,15.878,0.04186,0.00763,0.0425496944759889,79.66986110519302
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.35194,8.54805,15.878,0.04381,0.00589,0.04420416496213903,82.34283005547277
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.35252,8.54996,15.878,0.04414,0.00253,0.044212447342349186,86.71953126420703
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.35309,8.55186,15.876,,,,
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34701,8.53735,15.884,0.0134,0.01898,0.02323360497210883,35.22233344553374
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34761,8.53933,15.881,0.02649,0.01571,0.03079812007249793,59.329770898610136
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34821,8.54128,15.878,0.03654,0.01353,0.03896450307651825,69.68145958006458
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.3488,8.54322,15.876,0.0399,0.01094,0.041372618964721095,74.66714603791377
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34938,8.54515,15.875,0.04114,0.00906,0.04212580206951554,77.58036069687367
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34996,8.54707,15.875,0.04227,0.00731,0.042897424165094115,80.18854522048862
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.35054,8.54898,15.875,0.04381,0.00548,0.04415140428117774,82.87015481251711
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.35112,8.55088,15.875,0.04633,0.00351,0.04646277004226072,85.66749970906723
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.3517,8.55279,15.874,0.05053,0.00223,0.050579183465137116,87.47305096126753
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.35228,8.55469,15.871,,,,
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.345,8.5363,15.881,0.01387,0.01976,0.024141965537213407,35.06590252964343
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34561,8.53828,15.879,0.02172,0.01949,0.0291825033196263,48.09743009592281
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34621,8.54025,15.876,0.02854,0.01854,0.034033266078941055,56.99165937281352
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.3468,8.54221,15.875,0.03841,0.01287,0.0405088261987434,71.4755964808118
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34739,8.54415,15.873,0.04123,0.01058,0.042565823144865886,75.60790697841341
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34798,8.54608,15.872,0.04225,0.00882,0.04316080281922476,78.20842670559931
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34857,8.54799,15.872,0.04335,0.00726,0.043953726804447424,80.49267438374814
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34915,8.5499,15.872,0.04497,0.00584,0.04534761846006911,82.60073078353815
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34973,8.55181,15.872,0.0473,0.00447,0.0475107451004507,84.60140039999709
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.35031,8.55371,15.872,0.05035,0.00355,0.05047499380881587,85.96695185046248
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.35089,8.55561,15.872,0.05083,0.00319,0.05093000098173963,86.40892887603157
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.35147,8.55752,15.869,,,,
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.3436,8.53723,15.878,0.01202,0.01747,0.021205690274075022,34.52939627310763
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34421,8.53921,15.875,0.02049,0.01638,0.026232508458018267,51.36065817815716
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34481,8.54118,15.873,0.03367,0.01554,0.03708315655388575,65.22485943116808
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.3454,8.54314,15.871,0.03952,0.01298,0.041597004699857894,71.81768411578712
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.346,8.54508,15.87,0.04181,0.01054,0.04311806697893587,75.85095702188514
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34658,8.54701,15.87,0.04299,0.00878,0.04387742585886278,78.45702380437889
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34717,8.54892,15.87,0.0443,0.00745,0.04492207141261409,80.45380479861743
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34775,8.55083,15.87,0.04596,0.00635,0.04639659578029406,82.1336097076956
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34833,8.55274,15.87,0.04784,0.00527,0.04812939330596221,83.71370831299058
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34892,8.55464,15.87,0.04979,0.00427,0.049972762581230186,85.09829645717696
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.3495,8.55654,15.871,0.05096,0.00334,0.05106933717995564,86.25010620326367
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.35008,8.55844,15.871,0.04263,-0.00034,0.04263135583112505,90.45695876133267
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.35066,8.56034,15.869,,,,
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.3422,8.53816,15.874,0.01256,0.02163,0.025012207019773365,30.142663605621557
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34281,8.54015,15.872,0.02255,0.01709,0.028294356327720198,52.842552612764734
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34341,8.54211,15.87,0.03539,0.01509,0.038472850167358276,66.90700568398509
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34401,8.54407,15.868,0.04039,0.01286,0.04238787208624656,72.33875152299784
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.3446,8.54601,15.867,0.04235,0.01047,0.043625031805146,76.11346996445864
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34519,8.54793,15.867,0.04359,0.00879,0.0444674285292055,78.59909785458268
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34578,8.54985,15.867,0.0449,0.0076,0.04553866489039836,80.392887321637
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34636,8.55176,15.868,0.04641,0.00669,0.04688970249425774,81.79731888325466
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34695,8.55366,15.868,0.04791,0.00576,0.048255006994093366,83.14449450650365
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34753,8.55556,15.869,0.04941,0.00472,0.049634932255418665,84.54325162461403
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34811,8.55747,15.87,0.05049,0.00318,0.05059004348683642,86.39611346563825
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.3487,8.55937,15.87,0.04197,-0.0031,0.04208433081326113,94.22432607203845
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34928,8.56127,15.869,,,,
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34081,8.53909,15.87,0.01704,0.01861,0.025232790174691343,42.47836501569981
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34142,8.54107,15.868,0.02381,0.01842,0.030103363599438517,52.27358474175507
zurich,2025-10-23T15:00:00+00:00,0.9000000357627869,47.34202,8.54304,15.867,0.03604,0.01461,0.03888873487271089,67.93320750970946
